player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,trank_year
Bella Green,Pepperdine,WCC,32,39.5,96.9,23.6,50.3,54.86,10.9,27.6,14.7,25.2,38,48,0.792,70,141,0.496,8,22,0.364,0.6,2.3,29.4,Sr,6-0,3,1.40132,101.753,5.1,2026,75238,"Perth, Australia",,0.64282679,61,123,9,18,0.4959,0.5,0,0,,,86.6136,86.5441,1.73614,133.297,0.89146,0.0535489,0.837911,0.269149,15.7971,0.0259385,0.243211,1.5294,4.3529,5.8824,1.0588,0.6765,0.1176,6.5588,Wing G,2.42891,,2026
Myka Perry,Stephen F. Austin,Slnd,33,75.9,99.5,19.6,45.5,51.69,4.5,10,12.3,19,93,120,0.775,109,214,0.509,21,95,0.221,1,2.9,38.8,So,6-1,1,2.02422,95.4111,2.7,2026,75319,"Norman, OK",,0.93153373,93,178,16,36,0.5225,0.4444,0,0,,,91.5285,97.0984,2.22366,209.166,-0.376205,0.49671,-0.872915,-0.319848,30.4571,0.0105365,-0.330384,1.1714,3.3714,4.5429,1.9429,1.6286,0.3429,11.5143,Combo G,5.04284,,2026
Shanti Simmons,Georgia Southern,SB,19,43.8,119.4,19.7,55.8,62.72,5.9,20.1,16.7,16.7,58,70,0.829,64,111,0.577,9,28,0.321,1.2,5.9,50.4,Sr,5-9,4,4.11569,119.126,3.4,2026,75343,"Eatonton, GA",,1.54838721,62,101,2,10,0.6139,0.2,0,0,,,81.162,79.3867,3.72153,152.888,11.7677,6.24524,5.5225,10.7762,27.71,5.34988,5.42629,1.35,5.4,6.75,2.4,2.95,0.4,11.3,Combo G,3.06279,,2026
Jasha Clinton,Norfolk St.,MEAC,29,83.8,85.6,25.2,43,47.47,3.5,9.4,28.7,27.6,69,90,0.767,118,268,0.44,21,80,0.263,0.9,5.3,25.9,Sr,5-8,3,1.66322,90.5016,2.8,2026,75432,"Virginia Beach, VA",,0.97727501,78,152,47,128,0.5132,0.3672,0,0,,,80.3006,85.4219,3.81238,232.047,1.14566,-1.15657,2.30224,1.77587,33.4818,-0.967078,2.74295,1.1212,2.9697,4.0909,3.9091,3.4545,0.3636,13.1212,Scoring PG,4.60563,,2026
Jessica Carrothers,Illinois Chicago,MVC,28,74.3,111.4,27.1,50.3,54.34,2,9.1,29.3,12.7,73,81,0.901,210,406,0.517,4,23,0.174,0.5,2.5,18.9,Sr,5-7,14,4.94461,118.175,1.3,2026,75476,"Crown Point, IN",,2.12727168,58,99,152,307,0.5859,0.4951,0,0,,,99.0388,97.9067,2.3907,165.556,2.13174,4.18333,-2.05159,4.69897,34.1,5.14467,-0.445702,0.5714,2.6429,3.2143,4.1786,1.4286,0.1786,18.0357,Scoring PG,1.43506,,2026
Kayla Hampton,Tulane,Amer,13,7.2,117.5,14.6,62.1,62.07,3.6,10.2,5.2,12.7,0,0,0,6,14,0.429,8,15,0.533,0,0.6,0,Sr,5-9,1,0.705292,105.842,0.9,2026,75480,"Bossier City, LA",,0.66637779,3,5,3,9,0.6,0.3333,0,1,0,,98.6932,104.037,0.337028,14.2313,-1.31498,1.54774,-2.86272,2.34978,6.9231,3.76189,-1.41211,0.2308,0.6923,0.9231,0.1538,0.0769,0,2.7692,Wing G,9.29222,,2026
Fatoumata Jaiteh,Sacramento St.,BSky,22,43.6,102.6,15.7,50,56.55,8.5,18.1,11.4,25.4,39,51,0.765,37,78,0.474,10,26,0.385,2.3,4.1,49,Sr,6-2,45,1.65311,95.6303,5.5,2026,75512,"Lynnwood, WA",,0.94869375,28,51,9,27,0.549,0.3333,0,0,,,83.0765,83.8699,2.92102,138.078,4.50074,0.718901,3.78184,2.68115,24.2043,-0.447509,3.12866,1.8696,4.087,5.9565,1.6087,1.7391,0.5217,6.4348,Wing G,2.79857,,2026
Marley Langi,Cal St. Bakersfield,BW,29,63.3,81.6,25.3,39.7,44.19,2.2,12.1,6.5,20.1,55,69,0.797,51,152,0.336,50,165,0.303,0.9,1.7,21.8,Sr,6-0,8,0.824725,85.59,4.8,2026,75540,"Redwood City, CA",,0.31882608,33,82,18,70,0.4024,0.2571,0,0,,,98.5183,102.164,1.40871,133.424,-6.3978,-2.76811,-3.62969,-4.71371,25.8,-1.95861,-2.7551,0.6,2.7333,3.3333,0.7333,0.8,0.2,10.8,Wing G,12.3198,,2026
Skylah Travis,Richmond,A10,11,2.7,71.9,21.9,40,37.13,20.3,23.1,8.9,36.6,2,7,0.286,2,5,0.4,0,0,0,5.7,4.8,140,Sr,6-1,25,-0.000249344,76.1802,7.4,2026,75559,"Weldon, NC",,0.39999999,2,3,0,2,0.6667,0,0,0,,,75.6541,75.8686,0.506115,11.1616,1.70771,-4.26931,5.97702,-2.53287,3.4455,-5.17737,2.6445,0.5455,0.7273,1.2727,0.1818,0.2727,0.1818,0.5455,PF/C,0,,2026
Skyler Christmas,Jackson St.,SWAC,11,8.5,68.9,33.6,27.2,36.79,3.1,17.5,25,30.5,15,19,0.789,8,28,0.286,3,18,0.167,0,3.4,41.3,So,5-5,13,0.0502451,77.7535,7,2026,75563,"Slidell, LA",,0.68420388,5,13,3,15,0.3846,0.2,0,0,,,88.7733,94.4631,0.768296,23.2963,-10.5616,-8.15758,-2.404,-10.2552,9.8,-7.78562,-2.46956,0.4167,1.5,1.9167,1.0833,0.8333,0,4.4167,Combo G,10.2557,,2026
