23,Connecticut Sun,Kaila Charles,,Maryland,5,91,,16.7,5.2,3.2,1,,3.4,0.089
24,Washington Mystics,Jaylyn Agnew,,Creighton,1,12,,5.9,1.3,0.4,0.3,,-0.2,-0.093
Round 3,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
25,Atlanta Dream,Mikayla Pivec,,Oregon State,0,,,,,,,,,
26,New York Liberty,Erica Ogwumike,,Rice University,0,,,,,,,,,
27,Atlanta Dream,Kobi Thornton,,Clemson,0,,,,,,,,,
28,Indiana Fever,Kamiah Smalls,,James Madison University,3,13,,10.5,2.4,1,1.5,,0.2,0.058
29,Phoenix Mercury,Stella Johnson,,Rider University,2,15,,8.7,3.9,1,0.9,,0.5,0.154
30,Chicago Sky,Japreece Dean,,UCLA,0,,,,,,,,,
31,Seattle Storm,Haley Gorecki,,Duke,1,3,,2,0,0.7,0,,-0.1,-0.375
32,Chicago Sky,Kiah Gillespie,,Florida State,0,,,,,,,,,
33,Las Vegas Aces,Lauren Manis,,Holy Cross,0,,,,,,,,,
34,Los Angeles Sparks,Tynice Martin,,West Virginia,0,,,,,,,,,
35,Connecticut Sun,Juicy Landrum,,Baylor,0,,,,,,,,,
36,Washington Mystics,Sug Sutton,,Texas,4,124,,21.5,6,1.7,3.5,,-1,-0.015
1,Las Vegas Aces,Jackie Young,,Notre Dame,7,243,,30,14,4.1,4.2,,31,0.17
2,New York Liberty,AD Durr,,Louisville,3,79,,15.7,6.6,1.2,1.1,,0.8,0.027
3,Indiana Fever,Teaira McCowan,,Mississippi State,7,207,,22.6,10.7,8.1,1,,17.7,0.152
4,Chicago Sky,Katie Lou Samuelson,,UConn,5,138,,20.1,5.9,2.5,1.4,,3.5,0.05
5,Dallas Wings,Arike Ogunbowale,,Notre Dame,7,224,,34.2,19.9,3.2,4,,18.7,0.097
6,Minnesota Lynx,Napheesa Collier,,UConn,7,193,,33.5,18.4,7.8,3,,33.6,0.208
7,Los Angeles Sparks,Kalani Brown,,Baylor,6,139,,13.3,5.7,3.5,0.8,,6.1,0.132
8,Phoenix Mercury,Alanna Smith,,Stanford,7,183,,20.9,7.3,4.6,1.9,,13.1,0.137
9,Connecticut Sun,Kristine Anigwe,,California,5,77,,9.6,2.8,2.3,0.3,,0.7,0.041
10,Washington Mystics,Kiara Leslie,,NC State,2,28,,17.9,4.6,2.8,0.8,,0.1,0.007
11,Atlanta Dream,Brianna Turner,,Notre Dame,7,212,,22.5,4.1,5.7,1.3,,11.5,0.097
12,Seattle Storm,Ezi Magbegor,Melbourne Boomers (Australia),,6,206,,25.3,9.7,6,1.7,,20.7,0.159
Round 2,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
13,Phoenix Mercury,Sophie Cunningham,,Missouri,7,212,,23.1,7.9,2.8,1.4,,11,0.09
14,New York Liberty,Han Xu,Xinjiang Magic Deer (China),,3,58,,12.4,5.8,2.4,0.6,,1.7,0.096
15,Chicago Sky,Chloe Jackson,,Baylor,1,8,,4,0.6,0.8,0.5,,-0.2,-0.245
16,Minnesota Lynx,Jessica Shepard,,Notre Dame,5,125,,21.5,6.8,6.5,2.7,,9.6,0.143
17,Dallas Wings,Megan Gustafson,,Iowa,7,171,,10.9,4.2,2.4,0.4,,4.6,0.1
18,Minnesota Lynx,Natisha Hiedeman,,Marquette,7,234,,19.9,7.3,1.8,2.5,,13.8,0.118
19,Los Angeles Sparks,Marina Mabrey,,Notre Dame,7,230,,26,12.5,3.5,3.2,,8.1,0.054
20,Minnesota Lynx,Cierra Dillard,,Buffalo,0,,,,,,,,,
21,Connecticut Sun,Bridget Carleton,,Iowa State,7,219,,21.9,5.7,2.9,1.6,,12.1,0.101
22,Dallas Wings,Kennedy Burke,,UCLA,6,166,,14.8,5.2,1.7,0.8,,4.6,0.075
23,Atlanta Dream,Maite Cazorla,,Oregon,1,31,,15.4,3,0.7,1.6,,-0.2,-0.014
24,Seattle Storm,Anriel Howard,,Mississippi State,1,3,,6.7,1.7,1,0,,0,-0.028
Round 3,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
25,Indiana Fever,Paris Kea,,UNC,2,22,,10.2,4.8,1.2,1,,-0.3,-0.047
26,New York Liberty,Megan Huff,,Utah,1,7,,2.3,0,0.6,0.1,,-0.1,-0.323
27,Chicago Sky,Maria Conde,Wisła Can-Pack Kraków (Poland),,0,,,,,,,,,
28,Indiana Fever,Caliya Robinson,,Georgia,0,,,,,,,,,
29,Dallas Wings,Morgan Bertsch,,UC-Davis,2,39,,12.8,3.7,1.6,0.5,,-0.5,-0.041
30,Minnesota Lynx,Kenisha Bell,,Minnesota,1,3,,3.7,0,0.3,0.3,,0,-0.162
31,Los Angeles Sparks,Ángela Salvadores,Ensino (Spain),,0,,,,,,,,,
32,Phoenix Mercury,Arica Carter,,Louisville,1,6,,4,0.3,0,0.2,,-0.1,-0.229
33,Connecticut Sun,Regan Magarity,,Virginia Tech,0,,,,,,,,,
34,Washington Mystics,Sam Fuehring,,Louisville,0,,,,,,,,,
35,Atlanta Dream,Li Yueru,Guangdong Vermilion Birds (China),,3,85,,13.5,4.8,3.6,0.6,,2.1,0.072
36,Seattle Storm,Macy Miller,,South Dakota State,0,,,,,,,,,
