year,pid,player,team,rim_made,rim_miss,rim_assisted,mid_made,mid_miss,mid_assisted,three_made,three_miss,three_assisted,dunks_made,dunks_miss,dunks_assisted
2026,81193,Elise Horne,UT Rio Grande Valley,6,7,3,0,3,0,0,0,0,0,0,0
2026,81194,Nala Williams,San Diego St.,55,35,8,27,49,4,35,64,31,0,0,0
2026,81195,Noa Feller,UT Rio Grande Valley,0,0,0,0,0,0,0,2,0,0,0,0
2026,81196,Rylie Whitehair,UT Rio Grande Valley,7,10,6,6,12,6,7,18,7,0,0,0
2026,81197,Mariah Reed-Jones,Jackson St.,3,2,3,0,6,0,0,2,0,0,0,0
2026,81198,Daniya Brown,Rider,7,4,5,1,5,0,11,39,10,0,0,0
2026,81199,Alena Cofield,Rider,43,41,22,6,23,3,21,64,19,0,0,0
2026,81200,Dae'Jaidence Kincade,Cal St. Bakersfield,20,13,9,8,18,6,0,1,0,0,0,0
2026,81201,Adrienne Puletasi,Cal St. Bakersfield,7,9,4,0,3,0,0,0,0,0,0,0
2026,81202,Hodaya Kabada,UNLV,1,3,1,1,0,0,2,3,2,0,0,0
2026,81203,Riley Grohman,Abilene Christian,11,13,3,1,4,1,15,32,15,0,0,0
2026,81204,Kelis Fisher,Connecticut,26,19,10,7,10,4,0,14,0,0,0,0
2026,81205,Dezuray McGill,North Florida,85,73,63,14,27,10,10,17,10,0,0,0
2026,81206,Georgi Buzzetti,North Florida,18,17,10,12,24,8,7,20,7,0,0,0
2026,81207,Soraya Ogaldez,North Florida,17,10,2,11,16,0,2,11,2,0,0,0
2026,81208,Gandy Malou-Mamel,Connecticut,1,0,1,0,0,0,0,0,0,0,0,0
2026,81209,Destiny Macharia,Purdue Fort Wayne,11,12,4,8,23,0,23,62,22,0,0,0
2026,81210,Tyra Taylor,Arkansas Pine Bluff,33,18,17,16,52,13,7,34,6,0,0,0
2026,81212,Emma Daugherty,Abilene Christian,3,9,2,0,3,0,0,2,0,0,0,0
2026,81213,Shayla Smith,Penn St.,9,10,2,13,18,5,2,15,2,0,0,0
2026,81214,Khaniah Gardner,Arkansas Pine Bluff,76,49,45,21,35,13,0,1,0,1,0,0
2026,81215,Ysabella Von Seipler,San Diego,3,2,1,2,4,1,6,6,6,0,0,0
2026,81216,Rachel Lynch,Le Moyne,7,12,5,7,20,3,0,2,0,0,0,0
2026,81217,Tyler Gildersleeve-Stiles,Santa Clara,36,40,24,3,17,0,1,9,1,0,0,0
2026,81218,Chloe Sisco,Chicago St.,1,1,0,0,4,0,49,119,47,0,0,0
2026,81220,Kennedy Hall,Boston College,0,2,0,0,1,0,0,0,0,0,0,0
2026,81221,Eleanor Trout,Boston College,1,0,0,0,0,0,0,0,0,0,0,0
2026,81222,Pierre-Noelle Tcheuhchoua,Jackson St.,75,73,54,5,28,3,0,1,0,0,0,0
2026,81223,Grace Prenter,Texas,4,5,2,3,8,1,2,10,1,0,0,0
2026,81224,Aaliyah Crump,Texas,26,17,10,19,32,8,21,46,21,0,0,0
2026,81225,Jalayah Ingram,UT Rio Grande Valley,76,96,22,89,132,14,5,25,5,1,0,1
2026,81226,Lizzy Puot,Toledo,5,6,4,0,1,0,3,1,3,0,0,0
2026,81227,Camryn Vanden Bosch,Toledo,5,6,2,2,2,0,6,22,6,0,0,0
2026,81229,Aina Perez Mesquida,Rider,40,29,24,9,12,5,15,40,15,0,0,0
2026,81230,Christina Liggio,Navy,14,15,5,5,4,1,15,35,15,0,0,0
2026,81231,Quinn Boettinger,Navy,47,41,37,4,12,4,0,7,0,0,0,0
2026,81232,Deb Okechukwu,Rider,50,65,29,10,28,7,14,52,14,0,0,0
2026,81233,Kendall Mosley,San Diego St.,1,4,0,3,3,1,7,8,7,0,0,0
2026,81234,Claudia Lazaro Carrasco Claro,Rider,3,0,3,0,0,0,0,1,0,0,0,0
2026,81235,Zoe Mesuch,Navy,45,37,13,25,47,5,82,137,68,0,0,0
2026,81236,Hannah Wasserman,Yale,0,0,0,0,0,0,0,0,0,0,0,0
2026,81237,LA Sneed,Utah,45,52,4,4,11,0,20,38,19,0,0,0
2026,81239,Teaira Kelley,New Haven,41,50,20,7,27,2,0,4,0,1,0,0
2026,81240,Abby Knauff,North Florida,6,6,3,2,5,1,5,21,5,0,0,0
2026,81241,Indigo Brown,Bethune Cookman,2,1,1,0,0,0,0,0,0,0,0,0
2026,81242,Samari Bankhead,UCF,15,19,7,13,25,7,9,39,9,0,0,0
2026,81243,Ava Black,Vanderbilt,22,8,17,7,7,3,6,17,6,0,0,0
2026,81244,Katelyn Simpson,New Haven,6,17,2,5,15,4,0,3,0,0,0,0
2026,81245,Tyler Butler,Bethune Cookman,57,54,43,5,12,3,0,0,0,0,0,0
2026,81246,Libby Fandel,Kansas,20,13,9,6,10,3,20,64,20,0,0,0
2026,81247,Jamison Cardwell,North Florida,9,18,2,4,11,0,11,31,10,0,0,0
2026,81248,Mecailin Marshall,Tulane,46,40,22,28,47,14,40,96,40,0,0,0
2026,81249,ReRe Jennings,Ohio,38,31,12,6,18,3,22,42,22,0,0,0
2026,81250,Madison Gordon,Tulane,0,0,0,0,0,0,0,0,0,0,0,0
2026,81251,Shiloh Kimpson,Tulane,16,31,3,7,27,2,3,21,3,0,0,0
2026,81253,Vivienne Macheck,Ohio,0,1,0,0,0,0,1,2,1,0,0,0
2026,81254,Antonicia Moultrie,Ohio,29,23,20,2,2,0,10,20,10,0,0,0
2026,81256,Avery Gordon,Purdue,32,15,22,20,31,19,0,0,0,0,0,0
2026,81257,Jayda Cobbs,UC Riverside,1,0,0,0,1,0,0,7,0,0,0,0
2026,81258,Sydney Huber,Evansville,17,18,12,19,26,7,71,133,69,0,0,0
2026,81259,Samantha Mullock,Presbyterian,15,7,6,2,15,1,1,8,1,0,0,0
2026,81260,Allie Sykes,Presbyterian,2,3,1,2,11,0,21,57,13,0,0,0
2026,81261,Yolanda Floyd,Presbyterian,6,3,2,11,23,1,2,17,2,0,0,0
2026,81262,Aretha Linger,Presbyterian,14,13,7,4,14,2,0,3,0,0,0,0
2026,81263,Amani Williams,Presbyterian,30,28,21,1,12,1,0,0,0,0,0,0
2026,81264,Martyna Czescik,Houston Christian,1,2,0,0,1,0,2,2,2,0,0,0
2026,81265,Avery Hjelmstad,Utah,9,13,5,4,5,1,34,86,34,0,0,0
2026,81266,Ashley Dinges,Providence,22,22,14,17,28,14,22,74,22,0,0,0
2026,81267,Alli Robertson,Southern Indiana,0,0,0,3,2,2,2,2,2,0,0,0
2026,81268,Kennedy Austin,UMBC,44,69,6,20,39,2,7,14,6,0,0,0
2026,81269,Channah Gannon,Southern Indiana,32,28,21,10,33,8,4,16,2,0,0,0
2026,81271,Emily Knouse,Saint Joseph's,6,2,2,4,7,2,39,77,33,0,0,0
2026,81272,Maisie Crowley,UMBC,12,8,6,0,4,0,1,7,1,0,0,0
2026,81274,Janiyah Williams,Oregon,10,8,7,7,9,6,11,16,11,0,0,0
2026,81275,Jay Scott,Northwestern St.,0,2,0,0,3,0,0,2,0,0,0,0
2026,81276,Leah Fowler,Binghamton,0,0,0,0,2,0,0,1,0,0,0,0
2026,81277,Klarissa Goode,Binghamton,2,5,0,1,3,1,1,2,0,0,0,0
2026,81278,Carletta Bennett,Binghamton,51,41,12,17,21,5,13,32,13,0,0,0
2026,81280,Shay Shippen,Columbia,1,1,1,0,0,0,2,2,2,0,0,0
2026,81281,Makenzie Luehring,Oakland,77,83,14,28,47,7,56,114,48,0,0,0
2026,81282,Karinna Trotter,Oakland,9,5,7,2,6,2,0,0,0,0,0,0
2026,81283,Megan Verbeeten,North Florida,3,5,0,1,3,0,3,7,3,0,0,0
2026,81284,Tateyoina Harris,Coastal Carolina,39,34,24,1,2,0,0,1,0,0,0,0
2026,81285,Lola Bond,Western Kentucky,3,1,1,1,3,0,2,14,2,0,0,0
2026,81286,Mallory Shetley,Western Illinois,76,55,35,54,83,21,0,0,0,0,0,0
2026,81287,Sidney Skrobot,Western Illinois,3,4,2,0,4,0,2,6,2,0,0,0
2026,81289,Remi Langmaid,Houston Christian,1,1,1,0,0,0,1,14,1,0,0,0
2026,81290,Kailee Beaudion-Foliaki,Northeastern,12,14,3,17,34,6,5,12,4,0,0,0
2026,81291,Anna Hurst,Miami OH,1,2,1,0,1,0,1,3,1,0,0,0
2026,81292,Emma Leon,Liberty,10,18,3,4,18,1,15,39,14,0,0,0
2026,81293,Nyla McFadden,Penn St.,24,13,11,11,17,4,11,21,11,0,0,0
2026,81294,Jana Vesic,Seattle,48,49,11,16,33,6,22,53,16,0,0,0
2026,81295,Tea Cleante,Penn St.,48,39,13,10,16,2,35,81,32,0,0,0
2026,81296,Grace Knox,LSU,94,40,66,19,29,18,0,0,0,0,0,0
2026,81297,Rachael Okokoh,Penn St.,8,7,6,1,4,1,0,0,0,0,0,0
2026,81299,Sajol Thornhill,Saint Francis,10,18,3,0,7,0,7,53,6,0,0,0
2026,81300,Holland Harris,Clemson,10,13,5,2,7,1,6,10,6,0,0,0
2026,81301,Ja'naya Meyers,North Carolina A&T,15,17,0,4,8,2,2,3,2,0,0,0
2026,81302,Jamyia Lindsey,North Carolina A&T,11,12,3,5,16,1,12,36,10,0,0,0
2026,81303,Aniya McDonald-Perry,New Haven,95,96,53,14,31,9,0,6,0,0,0,0
2026,81304,Jade Hamilton-Gill,Chicago St.,3,2,2,0,1,0,0,0,0,0,0,0
2026,81307,Delainey Miller,Santa Clara,54,60,20,28,45,8,10,27,10,0,0,0
2026,81308,Londyn Walker,North Carolina A&T,1,2,0,0,3,0,0,1,0,0,0,0
2026,81309,Kate Schat,Santa Clara,10,11,1,1,4,1,21,42,19,0,0,0
2026,81310,Ruth Banjoko,Arkansas Pine Bluff,2,0,0,0,2,0,0,1,0,0,0,0
2026,81311,Gina Davorija,DePaul,21,12,15,5,8,3,16,68,16,0,0,0
