player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,bt_fetch_year
Ava Stoller,Eastern Illinois,OVC,29,75.5,90.1,22.8,40,47.53,0.9,9.7,22.6,18.9,90,100,0.9,83,213,0.39,30,107,0.28,0,2.1,31.3,Jr,5-6,3,1.73745,91.6685,2.6,2026,70785,"Saint Petersburg, FL",,1.14083252,33,68,50,145,0.4853,0.3448,0,0,,,103.724,102.532,1.76018,159.728,-3.93315,-0.586029,-3.34712,-3.098,32.6517,-0.985303,-2.1127,0.2759,2.8276,3.1034,2.7931,1.2069,0,11.931,Scoring PG,6.49666,,2026
Brooke Fatupaito,Montana St.,BSky,16,17.3,88,16.4,42.2,45.03,8,14.7,5.4,22.7,8,11,0.727,21,52,0.404,4,12,0.333,2.1,4,17.2,Jr,6-0,20,0.341426,83.0818,3.8,2026,70793,"Billings, MT",,0.52943667,18,35,3,17,0.5143,0.1765,0,0,,,82.454,82.6292,1.76523,54.1852,-0.366154,-2.43433,2.06817,-1.41447,15.5,-2.49924,1.08477,1.2222,2,3.2222,0.5,1.0556,0.2222,4.5,Wing G,2.79321,,2026
Aalyah Del Rosario,Vanderbilt,SEC,21,8.8,85.9,19,50,51.61,7.4,18.8,19.7,38.5,7,14,0.5,10,20,0.5,0,0,0,12.8,2.3,70,Jr,6-6,32,0.235997,88.1133,6,2026,70797,"Santo Domingo, Dominican Republic",98.8,1,10,19,0,1,0.5263,0,0,0,,,83.4582,78.5596,0.785386,31.6706,8.61007,-0.437967,9.04804,5.9748,5.7095,-1.36996,7.34476,0.381,0.9524,1.3333,0.7619,0.2381,0.7143,1.2857,PF/C,0,,2026
JoJo Nworie,Colorado,B12,14,4.5,102.7,14.3,55.9,55.88,7.4,15.3,0,19.7,0,0,0,8,15,0.533,1,2,0.5,9.3,0.9,0,Sr,6-5,4,0.370476,100.763,4.6,2026,70806,"Lagos, Nigeria",,0,7,10,1,5,0.7,0.2,0,0,,,86.9939,78.7474,0.595116,12.9513,1.87402,-0.79584,2.66986,3.74996,4.3857,0.782055,2.9679,0.2857,0.5714,0.8571,0,0.0714,0.3571,1.3571,PF/C,1.87134,,2026
Abby Wolterman,Northern Kentucky,Horz,32,51.9,103.8,17.4,50.9,53.91,13.4,17.4,6.8,20.7,36,55,0.655,81,152,0.533,2,13,0.154,1.9,1.6,33.3,Sr,6-0,14,1.57292,98.0267,4.9,2026,70812,"West Chester, OH",,0.48831673,77,129,4,23,0.5969,0.1739,0,0,,,96.4421,95.9634,1.60267,136.894,0.656241,0.971673,-0.315432,-0.835372,21.0125,0.200603,-1.03598,2.6875,3.2812,5.9688,0.6562,0.5938,0.375,6.375,Wing G,1.09145,,2026
Summah Hanson,UC Irvine,BW,22,33.3,108.7,18,45.5,51.6,10,23.3,4.5,12.8,34,42,0.81,26,60,0.433,20,63,0.317,6.1,2.8,34.1,Jr,6-3,14,1.86344,103.15,5.4,2026,70813,"Brisbane, Australia",,0.5294422,19,43,7,17,0.4419,0.4118,0,0,,,78.4736,81.8876,2.51221,115.119,3.59541,1.07127,2.52413,2.67533,20.0409,1.47081,1.20452,1.7727,4.2727,6.0455,0.4091,0.9545,1,6.6364,PF/C,8.52134,,2026
Michelle Ojo,DePaul,BE,30,42.6,90.7,25,47.9,51.65,10.6,16.8,14.7,25.7,49,76,0.645,92,189,0.487,1,6,0.167,2.3,3.4,39,Sr,6-0,23,1.66359,102.582,5.1,2026,70815,"Virginia Beach, VA",,0.55557146,82,151,10,38,0.543,0.2632,0,0,,,96.8057,90.4079,1.7527,119.739,1.62553,0.161791,1.46374,0.978675,18.1733,0.583912,0.394763,2,2.3667,4.3667,1.1667,1.1333,0.4333,7.8667,Wing G,0.611871,,2026
Ella Van Weelden,Cleveland St.,Horz,34,25.5,83.4,12.4,40.3,40.67,4.6,14.1,7.5,22.5,2,4,0.5,5,10,0.5,16,62,0.258,1,2.1,5.6,Sr,6-2,25,-0.215141,70.1278,3.2,2026,70816,"Cedar Rapids, IA",,0.78950358,4,7,1,3,0.5714,0.3333,0,0,,,89.5748,92.8267,0.898818,69.2726,-1.81533,-1.56156,-0.253771,-2.36514,10.4667,-2.30901,-0.0561367,0.4167,1.3333,1.75,0.4167,0.3611,0.0833,1.8889,Wing G,10.1875,,2026
Maren Westin,Green Bay,Horz,13,9.3,52.4,18.7,31.3,34.94,1.9,12.2,11.2,43.1,3,4,0.75,6,16,0.375,1,8,0.125,0,1.9,16.7,So,5-8,4,-0.865433,49.7602,3.6,2026,70820,"Becker, MN",,0.47059723,2,9,4,7,0.2222,0.5714,0,0,,,89.9744,91.1343,0.885918,23.3865,-8.03906,-8.37369,0.33463,-11.6195,9.5231,-9.67358,-1.94595,0.1538,1.0769,1.2308,0.6154,0.3077,0,1.3846,Combo G,3.81079,,2026
Joniyah Bland-Fitzpatrick,Bowling Green,MAC,27,34.3,79.9,20.2,40.1,43.03,8.9,8.7,9.2,24.3,21,39,0.538,41,98,0.418,1,8,0.125,1.5,3.6,36.8,Jr,5-10,8,0.18084,80.0046,5.5,2026,70825,"New London, CT",,0.56757434,31,69,10,29,0.4493,0.3448,0,0,,,94.6818,93.7959,1.16135,74.8804,-2.96876,-3.11299,0.144236,-4.19221,13.8,-3.77523,-0.416983,1.1613,1.0968,2.2581,0.6774,0.871,0.2258,4.5161,Wing G,1.18646,,2026
Lilah Moore,Northern Colorado,BSky,21,22.3,79.1,9.9,51.3,51.56,2.5,8.7,3.4,38,2,4,0.5,3,8,0.375,11,30,0.367,2.4,2.1,10.5,Sr,5-10,11,-0.560949,64.0294,3.2,2026,70828,"Phoenix, AZ",,0.27779723,2,4,1,4,0.5,0.25,0,0,,,93.1001,96.2059,1.01415,48.541,-1.43684,-2.54235,1.10551,-1.74739,13.281,-2.52602,0.778626,0.2857,1,1.2857,0.2381,0.4762,0.2857,1.9524,Wing G,6.25385,,2026
Samyha Suffren,Virginia Tech,ACC,32,50.2,93.3,23.7,43.5,48.23,4.3,12.9,14.9,20.5,54,69,0.783,102,230,0.443,8,32,0.25,0.4,3.9,26.3,Jr,5-8,12,1.94225,103.257,4.1,2026,70830,"Charlotte, NC",86.4,0.84480003,67,112,35,118,0.5982,0.2966,0,0,,,82.3434,77.0963,2.95088,158.143,5.04611,1.59173,3.45439,5.07221,20.85,0.830935,4.24128,0.875,2.4688,3.3438,1.5312,1.4688,0.0938,8.8125,Combo G,2.6731,,2026
