year,pid,player,team,rim_made,rim_miss,rim_assisted,mid_made,mid_miss,mid_assisted,three_made,three_miss,three_assisted,dunks_made,dunks_miss,dunks_assisted
2021,67989,Rachel Johnson,Wichita St.,8,5,4,1,0,0,7,6,7,0,0,0
2021,67994,Shamaryah Duncan,Wichita St.,4,5,1,3,15,1,6,25,5,0,0,0
2021,68001,Ryan Cobbins,North Dakota St.,30,24,9,25,37,6,24,44,23,0,0,0
2021,68003,Honesty Scott-Grayson,Auburn,63,50,21,44,88,9,22,51,22,0,0,0
2021,68005,Emily Klaczek,UAB,3,2,0,1,4,0,2,5,2,0,0,0
2021,68010,Jordan King,Marquette,34,35,20,41,57,18,17,57,17,0,0,0
2021,68011,Claire Kaifes,Marquette,4,1,2,2,9,2,25,48,25,0,0,0
2021,68012,Destiny Strother,Pittsburgh,4,4,4,7,7,2,29,68,27,0,0,0
2021,68019,Maggie Besselink,Arizona St.,25,34,16,1,10,1,5,8,5,0,0,0
2021,68020,Taylor Valladay,Marquette,32,18,19,25,33,18,2,10,1,0,0,0
2021,68021,Camryn Taylor,Marquette,61,48,38,67,69,57,0,3,0,0,0,0
2021,68025,Iyana Dorsey,Tarleton St.,19,38,1,15,38,2,42,111,33,0,0,0
2021,68034,Zyheima Swint,Hofstra,23,17,13,1,1,0,0,0,0,0,0,0
2021,68035,Selma Markisic,Hofstra,0,0,0,0,0,0,1,3,1,0,0,0
2021,68040,Makayla Firebaugh,Rider,30,33,9,26,42,6,40,88,28,0,0,0
2021,68043,Megan Smith,Utah Valley,14,13,13,3,2,2,0,0,0,0,0,0
2021,68045,Rachel Loobie,Central Michigan,7,2,5,4,10,2,0,3,0,0,0,0
2021,68049,Jasmine Powell,Minnesota,35,41,8,9,29,1,38,70,28,0,0,0
2021,68050,Helena Pueyo,Arizona,4,6,2,3,13,0,24,46,22,0,0,0
2021,68056,Paraskevi Koilia,Furman,4,7,1,4,6,0,0,1,0,0,0,0
2021,68059,Evie DePetro,Furman,1,0,0,1,3,1,5,11,5,0,0,0
2021,68060,Tate Walters,Furman,18,24,2,16,48,4,34,84,21,0,0,0
2021,68061,Anna Larr Roberson,Louisiana Tech,39,22,24,60,80,44,4,7,2,0,0,0
2021,68065,Sara Guerreiro,South Florida,2,0,1,3,7,2,0,5,0,0,0,0
2021,68067,Nia Clark,Xavier,32,37,15,10,32,4,16,27,15,0,0,0
2021,68072,Enya Maguire,Houston Christian,1,2,0,4,11,2,8,23,8,0,0,0
2021,68079,Tilly Boler,Jackson St.,6,8,0,11,30,9,0,3,0,0,0,0
2021,68081,Tyginae Wright,Alcorn St.,7,8,4,14,15,8,13,26,10,0,0,0
2021,68086,Savannah Samuel,Oregon St.,14,17,6,4,9,1,2,14,1,0,0,0
2021,68087,Cur'Tiera Haywood,Quinnipiac,14,31,6,3,6,0,14,36,13,0,0,0
2021,68089,Kaylee Jefferson,Sam Houston St.,14,15,5,13,25,9,1,8,1,0,0,0
2021,68092,Sara-Rose Smith,Missouri,1,1,1,0,3,0,0,3,0,0,0,0
2021,68094,Jayla Kelly,Missouri,5,2,3,0,2,0,0,0,0,0,0,0
2021,68095,Malia Magestro,Youngstown St.,13,11,3,0,8,0,18,17,16,0,0,0
2021,68108,Nylah Young,Hampton,45,36,27,20,84,17,9,21,9,0,0,0
2021,68110,Alexis Legan,Northern Illinois,0,0,0,1,1,0,0,0,0,0,0,0
2021,68111,Jaden Walker,Saint Joseph's,5,10,3,4,4,2,1,9,1,0,0,0
2021,68113,Madison Hall,Montana St.,11,7,2,4,21,2,8,12,8,0,0,0
2021,68122,Terri Crawford,Central Arkansas,28,31,16,12,26,8,0,0,0,0,0,0
2021,68125,Yaubryon Chambers,Vanderbilt,19,17,11,3,4,2,0,1,0,0,0,0
2021,68127,Lexy Keys,Oklahoma St.,17,17,6,17,32,2,34,69,34,0,0,0
2021,68129,McKayla Williams,Gonzaga,0,1,0,0,5,0,1,5,1,0,0,0
2021,68130,LaImani Simmons,High Point,16,22,6,0,16,0,4,18,4,0,0,0
2021,68131,Claire Wyatt,High Point,46,29,22,2,6,2,38,64,38,0,0,0
2021,68133,Sarah Barcello,Marist,43,24,34,15,32,5,23,57,18,0,0,0
2021,68134,Ta'Ziah Jenks,West Virginia,1,4,1,3,0,1,0,0,0,0,0,0
2021,68135,JeAnna Cunningham,West Virginia,1,1,0,0,0,0,0,0,0,0,0,0
2021,68136,Brittany Staves,Campbell,27,30,10,8,13,7,15,41,14,0,0,0
2021,68137,Abby Ogle,West Virginia,0,1,0,0,1,0,0,0,0,0,0,0
2021,68138,Sydney Taylor,Massachusetts,60,43,34,7,18,3,59,123,51,0,0,0
2021,68139,Kam Jones,Air Force,4,2,3,0,0,0,0,0,0,0,0,0
2021,68151,Chyna Cornwell,Rutgers,3,2,2,0,2,0,0,0,0,0,0,0
2021,68153,Gabby Elliott,Clemson,81,59,41,38,73,12,19,39,18,0,0,0
2021,68160,Diamond Johnson,Rutgers,46,26,16,28,32,7,50,60,38,0,0,0
2021,68172,Olivia Clayton,Tulsa,7,17,6,1,7,1,0,1,0,0,0,0
2021,68173,Aleah Nelson,Towson,32,46,6,15,44,3,33,57,22,0,0,0
2021,68180,Allie Craig Cruce,Alabama,12,8,3,0,1,0,12,30,12,0,0,0
2021,68181,Anne-Hamilton Leroy,Longwood,47,35,7,7,25,1,25,51,25,0,0,0
2021,68182,Jadyn Scott,Cincinnati,15,13,9,18,28,12,0,0,0,0,0,0
2021,68183,Jada Scott,Cincinnati,13,10,10,12,36,10,0,3,0,0,0,0
2021,68185,Amber Brown,Pittsburgh,33,32,21,12,23,7,0,0,0,0,0,0
2021,68190,Madison Scott,Mississippi,65,37,38,17,33,14,0,0,0,0,0,0
2021,68191,Tiya Douglas,Mississippi,8,3,4,8,15,7,14,32,14,0,0,0
2021,68194,Ashlee Harris,Bellarmine,9,9,2,19,48,4,7,12,6,0,0,0
2021,68200,Carla Budane,Wichita St.,4,3,4,3,6,2,0,1,0,0,0,0
2021,68203,Khalis Cain,UNC Greensboro,40,35,18,7,21,5,0,0,0,0,0,0
2021,68204,Maria Torres,Colorado St.,0,0,0,0,0,0,0,1,0,0,0,0
2021,68205,Cali Clark,Colorado St.,27,13,19,9,23,6,0,5,0,0,0,0
2021,68206,Laura Segues,Chicago St.,11,10,2,2,7,2,12,29,12,0,0,0
2021,68207,Eylia Love,Georgia Tech,29,20,18,7,22,4,3,10,3,0,0,0
2021,68208,Avyonce Carter,Georgia Tech,4,5,3,2,1,1,2,18,1,0,0,0
2021,68209,Anisa Clark,Georgia Tech,0,0,0,0,0,0,1,0,1,0,0,0
2021,68212,Ella Sawyer,Austin Peay,15,17,5,5,15,3,12,41,6,0,0,0
2021,68216,Tyia Singleton,Rutgers,51,27,37,5,18,3,0,0,0,0,0,0
2021,68217,Zipporah Broughton,Rutgers,15,6,6,7,12,2,10,22,7,0,0,0
2021,68219,Emy Hayford,Pittsburgh,18,23,4,5,19,1,2,17,0,0,0,0
2021,68220,Kyndall Golden,Vanderbilt,3,2,2,0,6,0,0,0,0,0,0,0
2021,68222,Abby Conklin,Fairleigh Dickinson,3,2,2,2,3,1,16,37,13,0,0,0
2021,68223,Devyn Scott,Fairleigh Dickinson,24,35,7,12,29,3,9,30,7,0,0,0
2021,68224,Chloe Wilson,Fairleigh Dickinson,43,50,24,3,13,3,5,4,5,0,0,0
2021,68227,Cynthia Ezeja,Pittsburgh,23,21,13,0,3,0,0,0,0,0,0,0
2021,68228,Molly Masciantonio,La Salle,26,32,13,10,25,6,32,73,28,0,0,0
2021,68230,Ayoka Lee,Kansas St.,130,51,108,54,62,43,0,0,0,0,0,0
2021,68231,Nyah Willis,Presbyterian,41,33,13,5,25,1,10,41,7,0,0,0
2021,68232,Treasure Hunt,Kentucky,7,7,2,4,12,2,10,22,9,0,0,0
2021,68233,Nnenna Orji,Hawaii,10,16,6,0,6,0,1,3,1,0,0,0
2021,68242,Elina Tausinga,Utah Valley,0,0,0,0,2,0,0,0,0,0,0,0
2021,68245,Nicole Avila-Ambrosi,Cal Baptist,20,14,13,2,9,2,26,39,24,0,0,0
2021,68247,Kelsey Wood,Sacred Heart,54,47,35,6,9,3,1,4,0,0,0,0
