season,player_name,team,position,class,draft_pick,age,listed_height,statistical_height,height_delta_inches,height_delta_percentile,feel_plus,feel_plus_percentile,rimfluence,rimfluence_off,rimfluence_def,rimfluence_percentile,poss_created_100,poss_created_100_percentile,gp,mpg,min_pct
2026,Amber Scott,Alabama A&M,G,Sr,,21.5,"5'9""","5'10""",0.62,60.13,81.36,28.17,N/A,N/A,N/A,,15.71,32.99,9.0,12.4,9.7
2026,Bryn Martin,Ohio St.,G,Fr,,18.5,"6'1""","5'11""",-2.21,12.96,94.28,45.69,N/A,N/A,N/A,,14.34,23.72,35.0,13.8,34.4
2026,Believe Tshibangu,Eastern Michigan,F,Fr,,18.5,"6'0""","6'2""",1.93,84.33,148.67,93.92,N/A,N/A,N/A,,16.55,39.0,20.0,9.7,17.1
2026,Morgan Hawkins,Cal St. Bakersfield,G,So,,19.5,"5'7""",N/A,,,113.35,70.82,N/A,N/A,N/A,,17.92,48.66,26.0,34.1,75.7
2026,Oliwia Pelka,Eastern Michigan,G,Fr,,18.5,"6'0""",N/A,,,77.14,22.99,N/A,N/A,N/A,,21.11,69.64,24.0,7.1,14.4
2026,Bella Hines,LSU,F,Fr,,18.5,"5'10""","6'0""",1.67,80.46,119.55,76.97,N/A,N/A,N/A,,15.48,31.04,33.0,13.0,30.6
2026,Pania Davis,Florida St.,F,Jr,,20.5,"6'6""","6'2""",-3.81,2.76,101.67,55.27,N/A,N/A,N/A,,24.31,84.98,31.0,17.5,43.2
2026,Lilliana Petersen,Cal St. Fullerton,F,So,,19.5,"6'2""",N/A,,,46.63,2.22,N/A,N/A,N/A,,9.85,4.26,17.0,6.0,6.9
2026,Nicole Steiner,Cal St. Fullerton,F,Fr,,18.5,"6'2""","6'1""",-0.61,37.37,159.13,96.3,N/A,N/A,N/A,,21.9,73.82,22.0,24.8,45.9
2026,Maxine Sutisna,Cal St. Fullerton,F,Fr,,18.5,"5'10""","5'10""",0.43,56.73,91.19,41.22,N/A,N/A,N/A,,20.84,68.1,27.0,12.0,25.3
2026,Mimi Moon,Cal St. Fullerton,F,Fr,,18.5,"5'7""",N/A,,,116.79,73.99,N/A,N/A,N/A,,19.95,63.53,27.0,7.8,15.4
2026,Dylan Swindle,Cal St. Fullerton,G,Fr,,18.5,"5'7""",N/A,,,109.28,65.44,N/A,N/A,N/A,,17.1,42.96,30.0,25.7,65.1
2026,Sania Richardson,Auburn,G,Fr,,18.5,"5'5""",N/A,,,96.61,48.17,N/A,N/A,N/A,,22.55,77.24,30.0,13.7,31.9
2026,Kayla Cleaveland,Georgia Southern,F,Fr,,18.5,"6'0""","5'11""",-1.15,27.38,76.17,21.81,N/A,N/A,N/A,,14.11,21.95,30.0,26.0,64.4
2026,Dylan Mogel,Seattle,G,Fr,,18.5,"5'9""","5'10""",0.77,63.88,106.37,61.58,N/A,N/A,N/A,,12.71,14.46,16.0,23.1,33.4
2026,Lala Woods,Maine,G,Fr,,18.5,"5'8""","5'9""",1.4,75.36,100.2,53.23,N/A,N/A,N/A,,15.41,30.55,21.0,32.7,53.7
2026,Hannah Chicken,Portland St.,F,Fr,,18.5,"6'0""","6'0""",0.34,54.89,106.01,61.02,N/A,N/A,N/A,,23.48,81.68,30.0,25.6,64.0
2026,Ni'Kiah Chesterfield,Marshall,F,Jr,,20.5,"6'0""","6'0""",-0.06,47.19,72.7,18.1,N/A,N/A,N/A,,18.55,52.91,35.0,13.1,31.4
2026,Anisa Jeffries,Grand Canyon,F,Sr,,21.5,"5'11""","6'1""",1.51,77.36,106.84,62.2,N/A,N/A,N/A,,18.78,54.53,28.0,26.1,57.1
2026,Mari Dangerfield,Southeastern Louisiana,G,Fr,,18.5,"6'0""",N/A,,,133.73,87.75,N/A,N/A,N/A,,17.02,42.4,7.0,10.8,7.0
2026,Jayden Terry,Louisiana Tech,G,Fr,,18.5,"5'9""",N/A,,,95.67,47.01,N/A,N/A,N/A,,13.89,20.26,27.0,5.8,10.5
2026,Hillary Dawson,Louisiana Tech,F,Fr,,18.5,"6'3""","6'1""",-2.02,15.37,127.72,83.85,N/A,N/A,N/A,,18.9,55.47,29.0,10.0,22.3
2026,Josefine Enander,Morehead St.,G,So,,19.5,"5'6""",N/A,,,49.49,2.99,N/A,N/A,N/A,,15.1,28.27,32.0,20.7,51.3
2026,Karina Bystry,Northern Kentucky,F,Fr,,18.5,"5'9""","5'11""",1.59,78.89,125.68,82.47,N/A,N/A,N/A,,24.57,85.85,32.0,30.6,75.7
2026,Kamille Brown,Louisiana Monroe,G,Jr,,20.5,"5'8""","5'11""",2.64,93.49,118.89,76.38,N/A,N/A,N/A,,12.03,11.41,32.0,14.4,36.1
2026,Anya George,Massachusetts,F,Fr,,18.5,"5'8""",N/A,,,55.2,5.02,N/A,N/A,N/A,,12.83,14.93,17.0,5.0,7.1
2026,Kiyah Lewis,Central Connecticut,F,Fr,,18.5,"6'0""","5'11""",-0.81,33.47,97.85,49.99,N/A,N/A,N/A,,25.36,88.1,27.0,32.0,74.4
